,category,word,segmentation,prediction,distance,overlaps,f1v2_tp,f1v2_fp,f1v2_fn,f1v3_tp,f1v3_fp,f1v3_fn,f1v2_score,f1v3_score,abs_diff,diff
0,__000,Baʿalim,baʿalim,ba|Ê¿|ali|m,5,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
1,__000,Bełchatów,bełchatów,be|Å‚|cha|tow,6,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
2,__000,Clœlia,clœlia,cl|Å“|lia,4,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
3,__000,Europæan,europæan,euro|p|Ã¦|an,5,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
4,__000,Funningsfjørður,funningsfjørður,fun|ning|sf|j|Ã¸|r|Ã°|ur,11,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
5,__000,Herculæan,herculæan,her|cu|l|Ã¦|an,6,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
6,__000,Hiʻiaka,hiʻiaka,hi|Ê»i|aka,4,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
7,__000,fœtid,fœtid,f|Å“|ti|d,5,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
8,__000,mediævalistic,mediævalistic,med|i|Ã¦|val|istic,6,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
9,__000,otorrhœa,otorrhœa,ot|or|rh|Å“|a,6,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
10,__000,Óðr,óðr,o|Ã°|r,5,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
11,__001,Axmouth,axe|mouth,ax|mouth,1,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
12,__001,Byrdstown,byrd|town,byrd|stown,1,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
13,__001,Day-Glo,day|glow,day|g|lo,2,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
14,__001,NIPPV,niv|ppv,ni|pp|v,2,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
15,__001,NPPV,niv|ppv,np|p|v,3,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
16,__001,Shitsburgh,shit|pittsburgh,shit|sburg|h,5,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
17,__001,Stenhouse,stone|house,ste|nh|ouse,4,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
18,__001,Winsock,windows|sockets,wins|ock,7,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
19,__001,acacetin,acacia|acetin,ac|ace|tin,5,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
20,__001,actomyosin,actin|myosin,act|omy|osi|n,5,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
21,__001,alwrong,all|wrong,al|wr|ong,2,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
22,__001,bandog,band|dog,band|og,1,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
23,__001,bolt-hole,[[bolt]]|[[hole]],bolt|hole,8,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
24,__001,boreo-montane,boreal|montane,bore|o|montane,2,-1,0,0,0,0,0,0,0.0,0.0,0.0,overlaps
